,Driver,Lap,Position,LapTime,Constructor
0,russell,1,1,1.1487,mercedes
1,bottas,1,2,1.2002333333333333,mercedes
2,sainz,1,3,1.2365166666666667,mclaren
3,ricciardo,1,4,1.3004166666666668,renault
4,kvyat,1,5,1.3266833333333334,alphatauri
5,stroll,1,6,1.3419666666666668,racing_point
6,gasly,1,7,1.3803833333333333,alphatauri
7,ocon,1,8,1.40375,renault
8,vettel,1,9,1.4465,ferrari
9,norris,1,10,1.4850666666666668,mclaren
10,kevin_magnussen,1,11,1.5101833333333334,haas
11,albon,1,12,1.53405,red_bull
12,giovinazzi,1,13,1.5471833333333334,alfa
13,latifi,1,14,1.56215,williams
14,aitken,1,15,1.5841833333333333,williams
15,pietro_fittipaldi,1,16,1.6106833333333332,haas
16,raikkonen,1,17,1.6338333333333332,alfa
17,perez,1,18,1.67475,racing_point
18,russell,2,1,1.64035,mercedes
19,bottas,2,2,1.6152333333333333,mercedes
20,sainz,2,3,1.5927166666666666,mclaren
21,ricciardo,2,4,1.5631,renault
22,kvyat,2,5,1.5719833333333333,alphatauri
23,stroll,2,6,1.5769833333333334,racing_point
24,gasly,2,7,1.5592166666666667,alphatauri
25,ocon,2,8,1.5654,renault
26,vettel,2,9,1.5471166666666667,ferrari
27,norris,2,10,1.5533,mclaren
28,kevin_magnussen,2,11,1.5543166666666666,haas
29,albon,2,12,1.55185,red_bull
30,giovinazzi,2,13,1.5574166666666667,alfa
31,latifi,2,14,1.5664833333333332,williams
32,aitken,2,15,1.5714333333333332,williams
33,pietro_fittipaldi,2,16,1.553,haas
34,raikkonen,2,17,1.5666833333333334,alfa
35,perez,2,18,1.5421833333333332,racing_point
36,russell,3,1,1.4971666666666668,mercedes
37,bottas,3,2,1.4940166666666668,mercedes
38,sainz,3,3,1.4938,mclaren
39,ricciardo,3,4,1.5073833333333333,renault
40,kvyat,3,5,1.5113,alphatauri
41,stroll,3,6,1.5064833333333334,racing_point
42,gasly,3,7,1.5234833333333333,alphatauri
43,ocon,3,8,1.5132833333333333,renault
44,vettel,3,9,1.5206,ferrari
45,norris,3,10,1.51945,mclaren
46,kevin_magnussen,3,11,1.51315,haas
47,albon,3,12,1.5154833333333333,red_bull
48,latifi,3,13,1.4898166666666666,williams
49,giovinazzi,3,14,1.53305,alfa
50,aitken,3,15,1.5124166666666667,williams
51,pietro_fittipaldi,3,16,1.5187166666666667,haas
52,raikkonen,3,17,1.5108,alfa
53,perez,3,18,1.53885,racing_point
54,russell,4,1,1.5376,mercedes
55,bottas,4,2,1.5303666666666667,mercedes
56,sainz,4,3,1.5342166666666666,mclaren
57,ricciardo,4,4,1.5038833333333332,renault
58,kvyat,4,5,1.4955833333333333,alphatauri
59,stroll,4,6,1.5084833333333334,racing_point
60,gasly,4,7,1.4918833333333332,alphatauri
61,ocon,4,8,1.49375,renault
62,vettel,4,9,1.5085666666666666,ferrari
63,norris,4,10,1.4920166666666668,mclaren
64,kevin_magnussen,4,11,1.4951166666666666,haas
65,albon,4,12,1.4982333333333333,red_bull
66,latifi,4,13,1.4984833333333334,williams
67,giovinazzi,4,14,1.4975333333333334,alfa
68,aitken,4,15,1.5089666666666666,williams
69,pietro_fittipaldi,4,16,1.5203166666666668,haas
70,raikkonen,4,17,1.5235333333333334,alfa
71,perez,4,18,1.4946,racing_point
72,russell,5,1,1.5022166666666668,mercedes
73,bottas,5,2,1.5077,mercedes
74,sainz,5,3,1.5026833333333334,mclaren
75,ricciardo,5,4,1.52555,renault
76,kvyat,5,5,1.5332333333333332,alphatauri
77,stroll,5,6,1.52865,racing_point
78,gasly,5,7,1.5385166666666668,alphatauri
79,ocon,5,8,1.54695,renault
80,vettel,5,9,1.5521666666666667,ferrari
81,norris,5,10,1.5648,mclaren
82,albon,5,11,1.5369,red_bull
83,kevin_magnussen,5,12,1.5929166666666668,haas
84,latifi,5,13,1.5597666666666667,williams
85,giovinazzi,5,14,1.5592,alfa
86,aitken,5,15,1.5402333333333333,williams
